case_key,seed_case,gamma_jump_case,deltaS_hor_case,profile,a_1_over_Teff,b,R2,Teff,mean_jump_rate,mean_Lambda_w,mean_Coh_ptr_w
seed_20260907_Gm_0.09_dS_0.12,20260907,0.09,0.12,oscillating,9.38522331844819,0.01768296076034704,0.09425925417964576,0.10655047472704635,0.0024107142857142856,0.022625444811536756,0.0008838334102692673
seed_20260907_Gm_0.12_dS_0.08,20260907,0.12,0.08,constant,10.152118319557841,0.0007073805691725738,0.9088151214172558,0.09850161006038721,0.0027053571428571426,0.015468545431184857,0.000604258496318182
seed_20260907_Gm_0.12_dS_0.08,20260907,0.12,0.08,gaussian,25.899097999937855,0.005026360303473903,0.6367768902873042,0.038611383300005256,0.0027053571428571426,0.0006796680559010171,2.6549534997017732e-05
seed_20260907_Gm_0.12_dS_0.08,20260907,0.12,0.08,oscillating,5.75779085607505,0.013552362574195448,0.032410612758755675,0.1736777220632978,0.0027321428571428575,0.015468545431184857,0.0006042584963181823
seed_20260907_Gm_0.12_dS_0.12,20260907,0.12,0.12,constant,15.228177479336773,0.0010610708537588665,0.9088151214172558,0.06566774004025809,0.0027053571428571426,0.02262544481153676,0.0008838334102692676
seed_20260907_Gm_0.12_dS_0.12,20260907,0.12,0.12,gaussian,38.84864699990674,0.00753954045521084,0.636776890287304,0.02574092220000353,0.0027053571428571426,0.0009941330396813558,3.883332414927501e-05
seed_20260907_Gm_0.12_dS_0.12,20260907,0.12,0.12,oscillating,8.636686284112582,0.020328543861293156,0.032410612758755564,0.11578514804219844,0.0027321428571428575,0.02262544481153676,0.0008838334102692684
seed_20260908_Gm_0.09_dS_0.08,20260908,0.09,0.08,constant,11.294619865861,1.3805641374295326e-18,1.0,0.08853772963378694,0.0020089285714285712,0.015468545431184855,0.0006042584963181828
seed_20260908_Gm_0.09_dS_0.08,20260908,0.09,0.08,gaussian,12.859401439320754,0.007629141840802535,0.40097115931443794,0.07776411714951649,0.0023035714285714283,0.0006796680559010171,2.654953499701783e-05
seed_20260908_Gm_0.09_dS_0.08,20260908,0.09,0.08,oscillating,8.22691552822824,0.011278860232177475,0.04185149766310903,0.12155223869368711,0.002285714285714286,0.015468545431184855,0.0006042584963181817
seed_20260908_Gm_0.09_dS_0.12,20260908,0.09,0.12,constant,16.941929798791485,8.283384824577195e-18,1.0,0.05902515308919134,0.0020089285714285712,0.022625444811536756,0.0008838334102692691
