seed,Lx,K_layers,mean_commutator_norm_adjacent_Umu,max_commutator_norm_adjacent_Umu,mean_abs_delta_lambda_gauge,max_abs_delta_lambda_gauge,gauge_invariant_within_tol,seed_case,lx_case,k_case
20260230,12,20,0.12270545159889601,0.49261474977767333,4.6178542218409946e-17,4.440892098500626e-16,True,20260230,12,20
20260230,12,30,0.12075517358035287,0.4916658337658773,5.65885771401653e-17,4.996003610813204e-16,True,20260230,12,30
20260231,6,10,0.14023200469011507,0.5298973357020511,5.925526273357443e-17,2.220446049250313e-16,True,20260231,6,10
20260231,6,20,0.11953970972734097,0.4077578010425246,6.376554377111413e-17,4.440892098500626e-16,True,20260231,6,20
20260231,6,30,0.11882974124578773,0.4916658337658773,5.1543648906318684e-17,3.885780586188048e-16,True,20260231,6,30
20260231,8,10,0.14442976702994942,0.5298973357020511,6.409803243734303e-17,2.7755575615628914e-16,True,20260231,8,10
20260231,8,20,0.12010617366049275,0.45559735621075315,4.658850616488103e-17,6.106226635438361e-16,True,20260231,8,20
20260231,8,30,0.11907817875800664,0.4916658337658773,5.2319531086003623e-17,4.996003610813204e-16,True,20260231,8,30
20260231,12,10,0.13992612636678392,0.5298973357020511,5.5258170724344545e-17,3.885780586188048e-16,True,20260231,12,10
20260231,12,20,0.12270545159889601,0.49261474977767333,4.0356037738983885e-17,2.498001805406602e-16,True,20260231,12,20
20260231,12,30,0.12075517358035287,0.4916658337658773,4.824699667560495e-17,3.885780586188048e-16,True,20260231,12,30
20260232,6,10,0.14023200469011507,0.5298973357020511,6.221874867170148e-17,3.3306690738754696e-16,True,20260232,6,10
20260232,6,20,0.11953970972734097,0.4077578010425246,6.689527404235562e-17,6.38378239159465e-16,True,20260232,6,20
20260232,6,30,0.11882974124578773,0.4916658337658773,6.911111223237287e-17,6.661338147750939e-16,True,20260232,6,30
20260232,8,10,0.14442976702994942,0.5298973357020511,5.767955557622884e-17,3.608224830031759e-16,True,20260232,8,10
20260232,8,20,0.12010617366049275,0.45559735621075315,5.102695880849356e-17,3.3306690738754696e-16,True,20260232,8,20
20260232,8,30,0.11907817875800664,0.4916658337658773,4.950060543754131e-17,3.3306690738754696e-16,True,20260232,8,30
20260232,12,10,0.13992612636678392,0.5298973357020511,5.231636882966721e-17,7.771561172376096e-16,True,20260232,12,10
20260232,12,20,0.12270545159889601,0.49261474977767333,5.525365321529252e-17,6.661338147750939e-16,True,20260232,12,20
20260232,12,30,0.12075517358035287,0.4916658337658773,5.148605066590539e-17,4.440892098500626e-16,True,20260232,12,30
20260233,6,10,0.14023200469011507,0.5298973357020511,5.0596101382656876e-17,2.7755575615628914e-16,True,20260233,6,10
20260233,6,20,0.11953970972734097,0.4077578010425246,4.336808689942018e-17,2.220446049250313e-16,True,20260233,6,20
20260233,6,30,0.11882974124578773,0.4916658337658773,6.4015362021691e-17,6.661338147750939e-16,True,20260233,6,30
20260233,8,10,0.14442976702994942,0.5298973357020511,4.7921736023859296e-17,5.273559366969494e-16,True,20260233,8,10
20260233,8,20,0.12010617366049275,0.45559735621075315,4.880095622310926e-17,3.885780586188048e-16,True,20260233,8,20
20260233,8,30,0.11907817875800664,0.4916658337658773,5.341050952206716e-17,4.440892098500626e-16,True,20260233,8,30
20260233,12,10,0.13992612636678392,0.5298973357020511,4.6461677098245486e-17,2.7755575615628914e-16,True,20260233,12,10
20260233,12,20,0.12270545159889601,0.49261474977767333,4.8114859535833276e-17,4.996003610813204e-16,True,20260233,12,20
20260233,12,30,0.12075517358035287,0.4916658337658773,4.5563596298703324e-17,2.7755575615628914e-16,True,20260233,12,30
20260234,6,10,0.14023200469011507,0.5298973357020511,6.37799998000806e-17,3.3306690738754696e-16,True,20260234,6,10
20260234,6,20,0.11953970972734097,0.4077578010425246,5.504494429708906e-17,4.718447854656915e-16,True,20260234,6,20
20260234,6,30,0.11882974124578773,0.4916658337658773,5.597193715456417e-17,4.440892098500626e-16,True,20260234,6,30
20260234,8,10,0.14442976702994942,0.5298973357020511,7.028882684223525e-17,3.95516952522712e-16,True,20260234,8,10
