case_id,seed,nx,alpha1_val,alpha2_val,alpha_mod_amp,theta1_base,theta1_amp,theta1_center,theta1_width,theta2_base,theta2_amp,theta2_center,theta2_width,n_angle_fine,max_abs_spatial_err,max_abs_antisym_err,max_abs_angle_err,rmse_angle,r2_angle,ratio_mean,ratio_std,pass_spatial_tol,pass_antisym_tol,pass_angle_tol,pass_ratio_std_tol,pass_r2_min,pass_all
57,20260220,96,0.5256165435480422,0.8821125907266637,0.27210189936626605,0.750249216325097,0.27277171888033974,1.7777214681572218,0.5815001889534888,0.42937184960938524,0.5945876899355913,4.6513773985761455,0.19353117751320875,33,2.220446049250313e-16,0.0,1.1102230246251565e-16,8.019852581839149e-17,1.0,0.5337096903042853,4.24202667101914e-13,True,True,True,True,True,True
58,20260220,256,0.5273488596875326,1.1521800519247227,0.12143937205455836,0.28489981849275575,0.1392362669875374,1.2240601720652726,0.8699616195197994,0.695085836118016,0.059775615860154875,5.481446570002055,0.2809737578933207,62,2.220446049250313e-16,0.0,1.1102230246251565e-16,5.629084773338157e-17,1.0,0.7068646045070027,1.0112120035912931e-12,True,True,True,True,True,True
59,20260220,200,0.6871314440313854,1.3161617509626673,0.15304971961251737,0.28933444203604824,0.38862152497952307,2.7635092252957145,0.5646870483172157,0.509373077112241,0.5935366501042446,3.666955157519764,0.37595869606119614,78,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.5518871706644424e-16,1.0,0.6545584473751885,1.1279692032879987e-12,True,True,True,True,True,True
60,20260220,200,0.15897162214902255,0.44598855390181535,0.246542922546386,0.2818909446575028,0.3340848787410113,2.0805741821026458,0.898583696350244,0.2247242422232254,0.20985741881535502,5.024471042670051,0.3767642145238651,56,1.1102230246251565e-16,0.0,1.1102230246251565e-16,4.8114849327844116e-17,1.0,0.2750124255060982,3.6082233447104535e-13,True,True,True,True,True,True
61,20260220,160,0.3641804143709529,0.5598726791450597,0.04698869206806922,0.7531980157653442,0.2800025298490606,2.1759289178026586,0.32872190441625726,0.6044481211144316,0.424616997875255,4.485496400642474,0.3479518276861452,71,2.220446049250313e-16,0.0,2.220446049250313e-16,8.814572771982358e-17,1.0,0.704243019883145,1.1260869448342231e-12,True,True,True,True,True,True
62,20260220,320,0.5434871944999486,0.9605947602143828,0.260938711121309,0.4495536666359792,0.388325242742469,2.5734586004463207,0.2381765441819549,0.6175364232938901,0.49138944942787416,4.032957180802492,0.4778769987154835,89,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.5593278875127753e-16,1.0,0.7529727814136162,1.4370259406097218e-12,True,True,True,True,True,True
63,20260220,128,0.6866425707737028,1.0902201088697305,0.05540764521836972,0.3057658144524052,0.34207229525306815,2.257445185244541,0.2267437829283971,0.3361302115178739,0.09644512845327143,6.103994382297722,0.29864056829133123,49,1.1102230246251565e-16,0.0,1.6653345369377348e-16,1.0143373059266827e-16,1.0,0.348986660412215,4.0702750546458767e-13,True,True,True,True,True,True
64,20260220,96,0.1549789758980524,0.4141103613796373,0.22411988947960068,0.6928582151375443,0.11443405285700496,2.107671504103712,0.7870381141581921,0.6278225128798323,0.13027723696575358,4.296327735207115,0.48160193511381577,70,2.220446049250313e-16,0.0,1.1102230246251565e-16,6.1025364168746e-17,1.0,0.6638031200360639,1.0493253930095636e-12,True,True,True,True,True,True
65,20260220,256,0.2165936130999208,0.5134965352430254,0.03759436253313509,0.5640125036277742,0.25309476373470846,1.483448637785157,0.5869979145956565,0.33786144741735863,0.5150576921262473,3.9974146013197633,0.49311498033784146,80,2.220446049250313e-16,0.0,1.6653345369377348e-16,1.0456944193124654e-16,1.0,0.482065792089224,8.473880350166447e-13,True,True,True,True,True,True
66,20260220,128,0.6019438324821477,0.7820856373765077,0.02343917761633711,0.6255854203236628,0.19067091570564657,1.8442813885866136,0.23710532624178626,0.2416505965846079,0.23311663788788228,4.7700459122531536,0.33327264163773074,89,1.1102230246251565e-16,0.0,1.1102230246251565e-16,4.2069731792191364e-17,1.0,0.295073596971163,5.631433992719285e-13,True,True,True,True,True,True
67,20260220,256,0.5005511146207304,0.7779748776835492,0.2645590265202525,0.7941768464072312,0.06041487885118821,1.0920989679488509,0.5386547625788294,0.5708421692649636,0.2126582971751616,5.118047646514969,0.4745404619626857,42,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.513509249046451e-16,1.0,0.6265320855781996,6.33550734981715e-13,True,True,True,True,True,True
68,20260220,96,0.43754697204052806,0.949180122789611,0.12505485883611295,0.16668455482219932,0.42541668520248554,0.7934690858782564,0.8466839981237759,0.3681200570792455,0.21033112359797645,5.498702698925318,0.47520982700241543,62,1.1102230246251565e-16,0.0,1.1102230246251565e-16,6.12715624772934e-17,1.0,0.4180015413659282,5.979814494388829e-13,True,True,True,True,True,True
69,20260220,160,0.6641547845044705,1.3008078726050343,0.34583192130279505,0.5323450002993547,0.3988445631390948,1.3005152858094728,0.23647138662719208,0.4202963241027497,0.2631102991641535,5.539563525295559,0.7269632966908957,48,1.1102230246251565e-16,0.0,2.220446049250313e-16,1.110855295853431e-16,1.0,0.49208263307691097,5.633083738558017e-13,True,True,True,True,True,True
70,20260220,96,0.3647945200174366,0.6928979820900616,0.2030411346323426,0.5514747122875571,0.48690230493868963,2.169653351983976,0.46405643406793884,0.46908955990643864,0.5420897964743084,5.221024283386125,0.2815775692189799,75,2.220446049250313e-16,0.0,2.220446049250313e-16,9.004557284736864e-17,1.0,0.5808499151165953,9.704100895874686e-13,True,True,True,True,True,True
71,20260220,320,0.3053386852248302,0.6362811460278528,0.3105186732546486,0.2763113394255895,0.5273426197921917,0.7888385953602207,0.19066199739306278,0.31820209252059745,0.34953914429597954,4.312874208694864,0.8499075018811362,76,1.1102230246251565e-16,0.0,2.220446049250313e-16,9.968167546959748e-17,1.0,0.4446074702367424,7.506411486925426e-13,True,True,True,True,True,True
72,20260220,96,0.212263980845612,0.931256714392521,0.030236985434799656,0.5014027806299223,0.19973515554216642,2.696934665270915,0.45555630845637407,0.23080660442441397,0.10762050722382324,4.270654569422375,0.6381654178424786,51,5.551115123125783e-17,0.0,5.551115123125783e-17,3.452483423744059e-17,1.0,0.2648788966518554,3.201816564591157e-13,True,True,True,True,True,True
73,20260220,256,0.1995705074733185,0.9714217840768454,0.00021923772520386352,0.3553366476966133,0.5657394217327721,0.8498572980181122,0.4123161836220623,0.7702351044269382,0.34676293731284,3.6868350489249617,0.5335021110960179,58,2.220446049250313e-16,0.0,3.3306690738754696e-16,1.58561304221514e-16,1.0,0.8712587800304428,1.1780585370288234e-12,True,True,True,True,True,True
74,20260220,320,0.5309560425944273,1.089612611317262,0.3261897779122896,0.6103500542726801,0.19722217611823223,2.5674026019733622,0.23199091607303465,0.2532710207484798,0.3542606143426305,4.10891226232292,0.22344373342493828,61,1.1102230246251565e-16,0.0,1.1102230246251565e-16,3.5149340906607366e-17,1.0,0.32007710449094456,4.516757148533303e-13,True,True,True,True,True,True
75,20260220,200,0.6602087396208876,0.8479044445854543,0.19517622437355497,0.5786369815573931,0.4771924129359799,2.8017590890794555,0.2159622548904832,0.16691485037402962,0.05623694064278949,4.1087498702336696,0.3913854658486463,49,5.551115123125783e-17,0.0,8.326672684688674e-17,3.665858712910719e-17,1.0,0.18094663108562495,2.1104354476464507e-13,True,True,True,True,True,True
76,20260220,96,0.42799774996500023,0.9004704953584413,0.2627586661963195,0.6791801629680452,0.5444411850471269,2.1275479901831678,0.5825668315104715,0.23618781596602542,0.3864875498912359,4.976026810834899,0.40609971745661716,79,1.1102230246251565e-16,0.0,5.551115123125783e-17,3.0079394388904146e-17,1.0,0.33221305728876777,5.782529959917131e-13,True,True,True,True,True,True
