n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
135,0.6,0.0018,0.002225403516559913,-0.002225403516559913,2.0631898054900657,0.00309020298173035,0.0025,-0.024271590678564502,-0.03291160635942692,0.9704194543754643,4.2075
136,0.6,0.0009,0.0012518600732199998,-0.0012518600732199998,2.0645570654829655,0.001367259992899772,0.00125,-0.024271590678564502,-0.032773900893487896,0.9704194543754645,4.215
137,0.6,0.0027,0.003030073593117113,-0.003030073593117113,2.0693003615063854,0.004743296023419941,0.00375,-0.024271590678564502,-0.03236078449567082,0.9704194543754643,4.2375
138,0.6,0.0018,0.002005996938462233,-0.002005996938462233,2.072169711671152,0.0028693501647665265,0.0025,-0.024271590678564502,-0.03208537356379278,0.9704194543754643,4.2525
139,0.6,0.0009,0.0008679082780398507,-0.0008679082780398507,2.073767944288308,0.0015982326171561922,0.00125,-0.024271590678564502,-0.031947668097853744,0.9704194543754645,4.26
140,0.6,0.0018,0.0020975862994607576,-0.0020975862994607576,2.0766634390588212,0.0028954947705130962,0.0025,-0.024271590678564502,-0.031672257165975694,0.9704194543754645,4.275
141,0.6,0.0,-0.0,0.0,2.0766634390588212,0.0,0.0,-0.024271590678564502,-0.031672257165975694,0.9704194543754645,4.275
142,0.6,0.0,-0.0,0.0,2.0766634390588212,0.0,0.0,-0.024271590678564502,-0.031672257165975694,0.9704194543754645,4.275
143,0.6,0.0009,0.0007602964405446945,-0.0007602964405446945,2.078010602523556,0.0013471634647346242,0.00125,-0.024271590678564502,-0.031534551700036675,0.9704194543754645,4.2825
144,0.6,0.0009,0.0009063328109721987,-0.0009063328109721987,2.0793516819298032,0.0013410794062473919,0.00125,-0.024271590678564502,-0.03139684623409764,0.9704194543754645,4.29
145,0.6,0.0,-0.0,0.0,2.0793516819298032,0.0,0.0,-0.024271590678564502,-0.03139684623409764,0.9704194543754645,4.29
146,0.6,0.0018,-0.00014885185553110261,0.00014885185553110261,2.0823829112303773,0.00303122930057409,0.0025,-0.024271590678564502,-0.031121435302219596,0.9704194543754645,4.305
147,0.6,0.0009,0.0012690733846786267,-0.0012690733846786267,2.083692938268948,0.001310027038570638,0.00125,-0.024271590678564502,-0.030983729836280574,0.9704194543754645,4.3125
148,0.6,0.0045,0.004572515780109108,-0.004572515780109108,2.091165928699898,0.007472990430950066,0.00625,-0.024271590678564502,-0.030295202506585454,0.9704194543754645,4.35
149,0.6,0.0,-0.0,0.0,2.091165928699898,0.0,0.0,-0.024271590678564502,-0.030295202506585454,0.9704194543754645,4.35
150,0.6,0.0009,0.0008365809954308355,-0.0008365809954308355,2.0926990960941882,0.0015331673942902135,0.00125,-0.024271590678564502,-0.030157497040646426,0.9704194543754645,4.3575
151,0.6,0.0027,0.002836615213404575,-0.002836615213404575,2.097052878031908,0.004353781937719958,0.00375,-0.024271590678564502,-0.029744380642829353,0.9704194543754645,4.38
152,0.6,0.0027,0.0022041189880127343,-0.0022041189880127343,2.101032394692007,0.003979516660098881,0.00375,-0.024271590678564502,-0.029331264245012274,0.9704194543754645,4.4025
153,0.6,0.0027,0.0020823303479008946,-0.0020823303479008946,2.1052530579407374,0.004220663248730272,0.00375,-0.024271590678564502,-0.028918147847195205,0.9704194543754645,4.425
154,0.6,0.0,-0.0,0.0,2.1052530579407374,0.0,0.0,-0.024271590678564502,-0.028918147847195205,0.9704194543754645,4.425
155,0.6,0.0009,0.0009115905131049692,-0.0009115905131049692,2.1064206941405237,0.001167636199786326,0.00125,-0.024271590678564502,-0.028780442381256176,0.9704194543754645,4.4325
156,0.6,0.0009,0.0005009202955757518,-0.0005009202955757518,2.107828843095246,0.0014081489547224102,0.00125,-0.024271590678564502,-0.028642736915317154,0.9704194543754645,4.44
157,0.6,0.0027,0.002791210790239112,-0.002791210790239112,2.111413824487273,0.003584981392026787,0.00375,-0.024271590678564502,-0.028229620517500074,0.9704194543754645,4.4625
158,0.6,0.0009,0.0017820410610579662,-0.0017820410610579662,2.1127562140239413,0.0013423895366684313,0.00125,-0.024271590678564502,-0.028091915051561056,0.9704194543754645,4.47
