n,epsilon,dS_hor_avg,dQ_in,dQ_avg,S_ens,dS_ens,jump_rate_emp,Lambda_w,Lambda_unw,Coh_ptr_w,layer_mean
55,0.15,0.0045000000000000005,-0.00011113387230952649,0.00011113387230952649,1.5389731314983441,0.01566098268296434,0.00625,-0.024271590678564502,-0.06444615805946359,0.9704194543754647,2.49
56,0.15,0.0027,0.0021578299487831788,-0.0021578299487831788,1.5482506038934805,0.009277472395136321,0.00375,-0.024271590678564502,-0.06403304166164653,0.9704194543754645,2.5125
57,0.15,0.0036,0.0009483531640682645,-0.0009483531640682645,1.5598071217487406,0.011556517855260129,0.005,-0.024271590678564502,-0.06348221979789043,0.9704194543754645,2.5425
58,0.15,0.0045000000000000005,0.0014394964653781305,-0.0014394964653781305,1.5742315940049394,0.014424472256198806,0.00625,-0.024271590678564502,-0.06279369246819529,0.9704194543754645,2.58
59,0.15,0.0009,0.0011243177699881844,-0.0011243177699881844,1.5770088602003114,0.002777266195371997,0.00125,-0.024271590678564502,-0.06265598700225627,0.9704194543754645,2.5875
60,0.15,0.0045000000000000005,-0.0010362302758597432,0.0010362302758597432,1.5911759312806795,0.014167071080368077,0.00625,-0.024271590678564502,-0.06196745967256115,0.9704194543754645,2.625
61,0.15,0.011699999999999999,0.004757191089440613,-0.004757191089440613,1.6287357102836542,0.03755977900297469,0.01625,-0.024271590678564502,-0.060177288615353826,0.9704194543754645,2.7225
62,0.15,0.0063,0.00033973242852543446,-0.00033973242852543446,1.6483406483579652,0.019604938074311073,0.00875,-0.024271590678564502,-0.05921335035378065,0.9704194543754645,2.775
63,0.15,0.0018,-0.0003291193900349696,0.0003291193900349696,1.653812959978958,0.005472311620992709,0.0025,-0.024271590678564502,-0.058937939421902605,0.9704194543754645,2.79
64,0.15,0.0018,0.0013688644773657255,-0.0013688644773657255,1.6594893773556048,0.005676417376646814,0.0025,-0.024271590678564502,-0.05866252849002455,0.9704194543754645,2.805
65,0.15,0.0027,0.0024955700888019895,-0.0024955700888019895,1.6675860156442412,0.008096638288636493,0.00375,-0.024271590678564502,-0.058249412092207485,0.9704194543754645,2.8275
66,0.15,0.0018,0.0002691055029607559,-0.0002691055029607559,1.673126190557799,0.005540174913557738,0.0025,-0.024271590678564502,-0.05797400116032943,0.9704194543754645,2.8425
67,0.15,0.0018,-0.0004545392190392306,0.0004545392190392306,1.6789276080085362,0.005801417450737256,0.0025,-0.024271590678564502,-0.057698590228451384,0.9704194543754645,2.8575
68,0.15,0.0054,0.00019973498869764643,-0.00019973498869764643,1.6945852528772007,0.0156576448686645,0.0075,-0.024271590678564502,-0.05687235743281723,0.9704194543754645,2.9025
69,0.15,0.005399999999999999,0.0003274324218277634,-0.0003274324218277634,1.7107126458603963,0.016127392983195543,0.0075,-0.024271590678564502,-0.05604612463718309,0.9704194543754645,2.9475
70,0.15,0.0027,-0.0003138494520945833,0.0003138494520945833,1.7184615909009984,0.007748945040602084,0.00375,-0.024271590678564502,-0.05563300823936601,0.9704194543754645,2.97
71,0.15,0.0009,-0.0006111647659070093,0.0006111647659070093,1.7208786283123663,0.002417037411367895,0.00125,-0.024271590678564502,-0.055495302773426985,0.9704194543754645,2.9775
72,0.15,0.0036,-0.0001587398961479615,0.0001587398961479615,1.731861100562035,0.010982472249668751,0.005,-0.024271590678564502,-0.05494448090967089,0.9704194543754645,3.0075
73,0.15,0.0,-0.0,0.0,1.731861100562035,0.0,0.0,-0.024271590678564502,-0.05494448090967089,0.9704194543754645,3.0075
74,0.15,0.0036,0.00143817792227641,-0.00143817792227641,1.7425311734524451,0.01067007289041011,0.005,-0.024271590678564502,-0.05439365904591479,0.9704194543754645,3.0375
75,0.15,0.0045,0.0009418073178572137,-0.0009418073178572137,1.7553895016385868,0.012858328186141632,0.00625,-0.024271590678564502,-0.05370513171621966,0.9704194543754645,3.075
76,0.15,0.0036,-0.0018427924368720494,0.0018427924368720494,1.7657696106010856,0.010380108962498857,0.005,-0.024271590678564502,-0.05315430985246356,0.9704194543754645,3.105
77,0.15,0.0036,0.0020488072047481114,-0.0020488072047481114,1.7756980957042776,0.009928485103191997,0.005,-0.024271590678564502,-0.05260348798870746,0.9704194543754645,3.135
78,0.15,0.0045000000000000005,0.001357572801050951,-0.001357572801050951,1.7878880732156572,0.012189977511379624,0.00625,-0.024271590678564502,-0.05191496065901234,0.9704194543754645,3.1725
79,0.15,0.0009,0.00037335909940091824,-0.00037335909940091824,1.7903290760399657,0.0024410028243084803,0.00125,-0.024271590678564502,-0.05177725519307331,0.9704194543754647,3.18
80,0.15,0.0036,0.000588043176846767,-0.000588043176846767,1.8000817399947764,0.00975266395481067,0.005,-0.024271590678564502,-0.05122643332931722,0.9704194543754645,3.21
81,0.15,0.0036,0.0014812737321143882,-0.0014812737321143882,1.8096097016210588,0.009527961626282444,0.005,-0.024271590678564502,-0.05067561146556112,0.9704194543754645,3.24
82,0.15,0.0018,0.0003255310179239891,-0.0003255310179239891,1.8144661993982645,0.004856497777205648,0.0025,-0.024271590678564502,-0.05040020053368307,0.9704194543754645,3.255
83,0.15,0.0018,-0.0005327501064564021,0.0005327501064564021,1.819049885075475,0.004583685677210569,0.0025,-0.024271590678564502,-0.05012478960180502,0.9704194543754645,3.27
84,0.15,0.0054,0.002393765409763537,-0.002393765409763537,1.8326794019849724,0.013629516909497319,0.0075,-0.024271590678564502,-0.04929855680617087,0.9704194543754645,3.315
85,0.15,0.0018,0.0003542246916587295,-0.0003542246916587295,1.8373757153654977,0.004696313380525341,0.0025,-0.024271590678564502,-0.04902314587429282,0.9704194543754645,3.33
86,0.15,0.0027,0.001566234917708653,-0.001566234917708653,1.844049157638567,0.006673442273069208,0.00375,-0.024271590678564502,-0.04861002947647574,0.9704194543754645,3.3525
87,0.15,0.0036,0.002243116827146607,-0.002243116827146607,1.8534927703211954,0.0094436126826285,0.005,-0.024271590678564502,-0.04805920761271965,0.9704194543754645,3.3825
88,0.15,0.0027,-0.0013040071447832707,0.0013040071447832707,1.860351037176661,0.0068582668554655335,0.00375,-0.024271590678564502,-0.04764609121490257,0.9704194543754647,3.405
89,0.15,0.0045000000000000005,-8.527687895562519e-05,8.527687895562519e-05,1.8713106819286391,0.010959644751978193,0.00625,-0.024271590678564502,-0.04695756388520745,0.9704194543754645,3.4425
90,0.15,0.0018,0.0001738331413094215,-0.0001738331413094215,1.875503134677143,0.004192452748503772,0.0025,-0.024271590678564502,-0.0466821529533294,0.9704194543754645,3.4575
91,0.15,0.0054,-0.0006778639449269836,0.0006778639449269836,1.8891001580916127,0.013597023414469778,0.0075,-0.024271590678564502,-0.045855920157695254,0.9704194543754647,3.5025
92,0.15,0.0036,0.0006904342945235036,-0.0006904342945235036,1.897861378076069,0.008761219984456226,0.005,-0.024271590678564502,-0.04530509829393915,0.9704194543754647,3.5325
93,0.15,0.0036,-0.0001148596302256185,0.0001148596302256185,1.9066487230431848,0.008787344967115862,0.005,-0.024271590678564502,-0.04475427643018305,0.9704194543754645,3.5625
94,0.15,0.0018,-0.0005541114255638176,0.0005541114255638176,1.91063645797177,0.003987734928585285,0.0025,-0.024271590678564502,-0.044478865498305,0.9704194543754645,3.5775
95,0.15,0.0009,8.804640028449289e-05,-8.804640028449289e-05,1.9126383190650156,0.002001861093245516,0.00125,-0.024271590678564502,-0.04434116003236598,0.9704194543754645,3.585
96,0.15,0.0009,0.001036939609699815,-0.001036939609699815,1.9149481554048242,0.0023098363398086352,0.00125,-0.024271590678564502,-0.04420345456642695,0.9704194543754647,3.5925
97,0.15,0.0009,6.601309124443313e-05,-6.601309124443313e-05,1.9169171450465063,0.0019689896416821284,0.00125,-0.024271590678564502,-0.04406574910048793,0.9704194543754647,3.6
98,0.15,0.0009,0.00025231831881748095,-0.00025231831881748095,1.9191219184873696,0.002204773440863228,0.00125,-0.024271590678564502,-0.0439280436345489,0.9704194543754645,3.6075
99,0.15,0.0009,-0.0006030505591586967,0.0006030505591586967,1.9210470294655846,0.0019251109782150166,0.00125,-0.024271590678564502,-0.04379033816860988,0.9704194543754647,3.615
100,0.15,0.0,-0.0,0.0,1.9210470294655846,0.0,0.0,-0.024271590678564502,-0.04379033816860988,0.9704194543754647,3.615
101,0.15,0.0027,0.0014890116295142454,-0.0014890116295142454,1.927445466556563,0.006398437090978426,0.00375,-0.024271590678564502,-0.043377221770792805,0.9704194543754645,3.6375
102,0.15,0.0009,0.0011245331878764328,-0.0011245331878764328,1.929408366199249,0.0019628996426859224,0.00125,-0.024271590678564502,-0.04323951630485378,0.9704194543754647,3.645
103,0.15,0.0009,0.0002336403336252424,-0.0002336403336252424,1.931573450830096,0.0021650846308469696,0.00125,-0.024271590678564502,-0.043101810838914754,0.9704194543754645,3.6525
104,0.15,0.0027,-0.0001741054317482421,0.0001741054317482421,1.9374215676407938,0.0058481168106978565,0.00375,-0.024271590678564502,-0.04268869444109768,0.9704194543754645,3.675
105,0.15,0.0045,2.8830553154593504e-05,-2.8830553154593504e-05,1.9478157265791658,0.010394158938372033,0.00625,-0.024271590678564502,-0.04200016711140255,0.9704194543754647,3.7125
106,0.15,0.0036,0.0023157955433408344,-0.0023157955433408344,1.9556375579940055,0.00782183141483972,0.005,-0.024271590678564502,-0.04144934524764645,0.9704194543754647,3.7425
107,0.15,0.0027,-0.0013294246781616053,0.0013294246781616053,1.9619798760360128,0.0063423180420072445,0.00375,-0.024271590678564502,-0.04103622884982938,0.9704194543754645,3.765
108,0.15,0.0018,0.0005181568869393143,-0.0005181568869393143,1.9656121839460257,0.0036323079100128997,0.0025,-0.024271590678564502,-0.04076081791795133,0.9704194543754645,3.78
109,0.15,0.0036,0.0013659725018851743,-0.0013659725018851743,1.972870048602558,0.007257864656532442,0.005,-0.024271590678564502,-0.04020999605419523,0.9704194543754647,3.81
110,0.15,0.0,-0.0,0.0,1.972870048602558,0.0,0.0,-0.024271590678564502,-0.04020999605419523,0.9704194543754647,3.81
111,0.15,0.0027,0.0016490942807291652,-0.0016490942807291652,1.9788796591438491,0.006009610541291011,0.00375,-0.024271590678564502,-0.03979687965637816,0.9704194543754647,3.8325
112,0.15,0.0018,0.0011392029656469688,-0.0011392029656469688,1.9826616915153288,0.003782032371479671,0.0025,-0.024271590678564502,-0.03952146872450011,0.9704194543754645,3.8475
113,0.15,0.0018,-0.0007208289370529375,0.0007208289370529375,1.986431175189722,0.003769483674393115,0.0025,-0.024271590678564502,-0.03924605779262206,0.9704194543754645,3.8625
114,0.15,0.0009,-0.0005978746973461837,0.0005978746973461837,1.9881406045310421,0.0017094293413202344,0.00125,-0.024271590678564502,-0.039108352326683034,0.9704194543754647,3.87
115,0.15,0.0018,0.0013469469098418927,-0.0013469469098418927,1.9920557179840461,0.003915113453003993,0.0025,-0.024271590678564502,-0.03883294139480498,0.9704194543754647,3.885
116,0.15,0.0009,0.00011294344237448694,-0.00011294344237448694,1.9937224672741036,0.001666749290057501,0.00125,-0.024271590678564502,-0.038695235928865965,0.9704194543754645,3.8925
117,0.15,0.0009,0.0009850799254151334,-0.0009850799254151334,1.9957038671294063,0.001981399855302657,0.00125,-0.024271590678564502,-0.03855753046292693,0.9704194543754647,3.9
118,0.15,0.0009,8.321112454033962e-05,-8.321112454033962e-05,1.997343279999062,0.001639412869655743,0.00125,-0.024271590678564502,-0.038419824996987914,0.9704194543754645,3.9075
119,0.15,0.0027,-0.0002843838509781977,0.0002843838509781977,2.0025003030514608,0.005157023052398735,0.00375,-0.024271590678564502,-0.03800670859917083,0.9704194543754647,3.93
120,0.15,0.0009,-0.0006020281806847271,0.0006020281806847271,2.0041370428951026,0.0016367398436418767,0.00125,-0.024271590678564502,-0.03786900313323181,0.9704194543754647,3.9375
121,0.15,0.0027,0.002283143654378109,-0.002283143654378109,2.0092994075714325,0.005162364676329911,0.00375,-0.024271590678564502,-0.037455886735414744,0.9704194543754647,3.96
122,0.15,0.0036,0.001605810743056623,-0.001605810743056623,2.0161873271921826,0.006887919620750083,0.005,-0.024271590678564502,-0.03690506487165864,0.9704194543754645,3.99
123,0.15,0.0009,-0.0006054046656991209,0.0006054046656991209,2.01775308422329,0.0015657570311073954,0.00125,-0.024271590678564502,-0.03676735940571961,0.9704194543754647,3.9975
124,0.15,0.0036,0.0033351846860031685,-0.0033351846860031685,2.024881532516644,0.007128448293353795,0.005,-0.024271590678564502,-0.036216537541963516,0.9704194543754645,4.0275
125,0.15,0.0018,-0.0012160696073895464,0.0012160696073895464,2.0279090720112345,0.0030275394945906697,0.0025,-0.024271590678564502,-0.035941126610085465,0.9704194543754647,4.0425
126,0.15,0.0027,-0.0006546866991188998,0.0006546866991188998,2.0329964527006417,0.005087380689407173,0.00375,-0.024271590678564502,-0.035528010212268396,0.9704194543754647,4.065
127,0.15,0.0027,0.0006845677678828387,-0.0006845677678828387,2.038126540472926,0.0051300877722844085,0.00375,-0.024271590678564502,-0.03511489381445131,0.9704194543754645,4.0875
128,0.15,0.0009,0.0002506706009612031,-0.0002506706009612031,2.0398386154564823,0.0017120749835561888,0.00125,-0.024271590678564502,-0.034977188348512295,0.9704194543754645,4.095
129,0.15,0.0018,0.0003192977874367826,-0.0003192977874367826,2.0432579051128643,0.003419289656382052,0.0025,-0.024271590678564502,-0.034701777416634244,0.9704194543754645,4.11
130,0.15,0.0036,0.0008047273076862774,-0.0008047273076862774,2.049570956110605,0.00631305099774071,0.005,-0.024271590678564502,-0.03415095555287814,0.9704194543754647,4.14
131,0.15,0.0027,0.0017260259568008768,-0.0017260259568008768,2.0546507914242484,0.0050798353136434216,0.00375,-0.024271590678564502,-0.033737839155061074,0.9704194543754645,4.1625
132,0.15,0.0,-0.0,0.0,2.0546507914242484,0.0,0.0,-0.024271590678564502,-0.033737839155061074,0.9704194543754645,4.1625
133,0.15,0.0009,1.6985619501105157e-05,-1.6985619501105157e-05,2.0561921171644655,0.0015413257402170366,0.00125,-0.024271590678564502,-0.03360013368912204,0.9704194543754645,4.17
134,0.15,0.0018,-0.0013865787966486653,0.0013865787966486653,2.059371162459593,0.0031790452951274695,0.0025,-0.024271590678564502,-0.03332472275724399,0.9704194543754645,4.185
135,0.15,0.0018,-0.0007018766748929242,0.0007018766748929242,2.062640769353531,0.0032696068939381817,0.0025,-0.024271590678564502,-0.03304931182536595,0.9704194543754645,4.2
136,0.15,0.0,-0.0,0.0,2.062640769353531,0.0,0.0,-0.024271590678564502,-0.03304931182536595,0.9704194543754645,4.2
137,0.15,0.0009,-0.0007985844872688982,0.0007985844872688982,2.0643763132802913,0.0017355439267601191,0.00125,-0.024271590678564502,-0.03291160635942692,0.9704194543754643,4.2075
138,0.15,0.0,-0.0,0.0,2.0643763132802913,0.0,0.0,-0.024271590678564502,-0.03291160635942692,0.9704194543754643,4.2075
139,0.15,0.0009,0.000345600286706282,-0.000345600286706282,2.065986915986136,0.001610602705844677,0.00125,-0.024271590678564502,-0.032773900893487896,0.9704194543754645,4.215
140,0.15,0.0036,0.0007827807765999711,-0.0007827807765999711,2.0718987530485693,0.005911837062433367,0.005,-0.024271590678564502,-0.032223079029731795,0.9704194543754647,4.245
141,0.15,0.0018,0.00045899137937548183,-0.00045899137937548183,2.0748022326652147,0.002903479616645388,0.0025,-0.024271590678564502,-0.031947668097853744,0.9704194543754645,4.26
142,0.15,0.0009,0.00010813203516829661,-0.00010813203516829661,2.0761346357699337,0.0013324031047190488,0.00125,-0.024271590678564502,-0.031809962631914726,0.9704194543754645,4.2675
143,0.15,0.0018,0.00044443627146050185,-0.00044443627146050185,2.0789665206924473,0.0028318849225135168,0.0025,-0.024271590678564502,-0.031534551700036675,0.9704194543754645,4.2825
144,0.15,0.0018,-0.0006251622736881813,0.0006251622736881813,2.0819189392233457,0.0029524185308984485,0.0025,-0.024271590678564502,-0.031259140768158625,0.9704194543754645,4.2975
145,0.15,0.0018,-0.00021857330220226485,0.00021857330220226485,2.084681290369161,0.002762351145815245,0.0025,-0.024271590678564502,-0.030983729836280574,0.9704194543754645,4.3125
146,0.15,0.0018,0.00035060912993818515,-0.00035060912993818515,2.0874355884963838,0.0027542981272228317,0.0025,-0.024271590678564502,-0.030708318904402523,0.9704194543754645,4.3275
147,0.15,0.0,-0.0,0.0,2.0874355884963838,0.0,0.0,-0.024271590678564502,-0.030708318904402523,0.9704194543754645,4.3275
