seed,Nsamples,L_sites,K_layers,gamma_deph,eta0,"noncomm_norm_[U0,U1]",max_abs_balance_residual,mean_abs_balance_residual,balance_closure_ok_1e-10,seed_case,n_sites_case,k_layers_case,gamma_case,eta0_case
20260406,16,4,4,0.8,0.2,1.0442646194114757,2.220446049250313e-16,1.6761370304583846e-17,True,20260406,4,4,0.8,0.2
20260406,16,4,4,0.8,0.9,1.0442646194114757,1.1102230246251565e-16,1.897579677302234e-17,True,20260406,4,4,0.8,0.9
20260406,16,4,4,0.8,1.6,1.0442646194114757,2.220446049250313e-16,2.096942998654321e-17,True,20260406,4,4,0.8,1.6
20260406,16,4,5,0.1,0.2,0.8802985854082106,4.85722573273506e-17,3.95326158351343e-18,True,20260406,4,5,0.1,0.2
20260406,16,4,5,0.1,0.9,0.8802985854082106,8.326672684688674e-17,6.498690881219169e-18,True,20260406,4,5,0.1,0.9
20260406,16,4,5,0.1,1.6,0.8802985854082106,1.1102230246251565e-16,1.021453971752906e-17,True,20260406,4,5,0.1,1.6
20260406,16,4,5,0.35,0.2,0.8802985854082106,5.551115123125783e-17,6.712919630795568e-18,True,20260406,4,5,0.35,0.2
20260406,16,4,5,0.35,0.9,0.8802985854082106,5.551115123125783e-17,7.387002567436328e-18,True,20260406,4,5,0.35,0.9
20260406,16,4,5,0.35,1.6,0.8802985854082106,5.551115123125783e-17,9.0751957001773e-18,True,20260406,4,5,0.35,1.6
20260406,16,4,5,0.8,0.2,0.8802985854082106,2.220446049250313e-16,1.2789915159224183e-17,True,20260406,4,5,0.8,0.2
20260406,16,4,5,0.8,0.9,0.8802985854082106,1.1102230246251565e-16,1.381236862985485e-17,True,20260406,4,5,0.8,0.9
20260406,16,4,5,0.8,1.6,0.8802985854082106,1.1102230246251565e-16,1.4477571837765226e-17,True,20260406,4,5,0.8,1.6
20260407,16,4,3,0.1,0.2,1.0662702819607914,4.163336342344337e-17,6.253408962648707e-18,True,20260407,4,3,0.1,0.2
20260407,16,4,3,0.1,0.9,1.0662702819607914,5.551115123125783e-17,9.329503225374616e-18,True,20260407,4,3,0.1,0.9
20260407,16,4,3,0.1,1.6,1.0662702819607914,1.1102230246251565e-16,1.4221542012241826e-17,True,20260407,4,3,0.1,1.6
20260407,16,4,3,0.35,0.2,1.0662702819607914,5.551115123125783e-17,9.03666511255442e-18,True,20260407,4,3,0.35,0.2
20260407,16,4,3,0.35,0.9,1.0662702819607914,1.1102230246251565e-16,1.3411449112965007e-17,True,20260407,4,3,0.35,0.9
20260407,16,4,3,0.35,1.6,1.0662702819607914,2.220446049250313e-16,2.1766205645593756e-17,True,20260407,4,3,0.35,1.6
20260407,16,4,3,0.8,0.2,1.0662702819607914,4.440892098500626e-16,1.858879683089904e-17,True,20260407,4,3,0.8,0.2
20260407,16,4,3,0.8,0.9,1.0662702819607914,2.220446049250313e-16,2.7794821475518365e-17,True,20260407,4,3,0.8,0.9
20260407,16,4,3,0.8,1.6,1.0662702819607914,2.220446049250313e-16,2.3506481893113674e-17,True,20260407,4,3,0.8,1.6
