subset,model,split_id,n_train,n_test,mae_base,mae_full,mae_gain_frac,intercept_base,intercept_full,coef_base_ctrl,coef_full_ctrl,coef_full_lambda_h,coef_full_lambda_v
union_p90,vertical,1,670,134,0.8338902203386369,0.8332618757360184,0.0007535099792423441,0.9190046079526473,0.9198168789805745,-0.3290133293255012,-0.3286728239441512,,-308.5811210572578
union_p90,vertical,2,670,134,0.666524165317508,0.6669101143874481,-0.0005790473774579787,1.019152523730282,1.0197767313356163,-0.29365797092739804,-0.29356417896072223,,-189.54187172929375
union_p90,vertical,3,670,134,0.735976243622447,0.7359632528633775,1.7651057601406783e-05,1.073738295705101,1.0746436094621565,-0.29099085649012185,-0.29086246619571093,,-285.7017492473724
union_p90,vertical,4,670,134,0.633736218700755,0.6504637898435722,-0.026395163554143376,0.9313857454008282,0.934993675458713,-0.28644006777571746,-0.28531608397770936,,-1857.4280412449825
union_p90,vertical,5,670,134,0.9995443209349828,1.0036296892518228,-0.00408723078233735,1.105948180669136,1.102559315744595,-0.14582751850442166,-0.1469126733186512,,1211.208111354572
union_p90,combined,0,670,134,0.6503827591818436,0.6507613930560422,-0.0005821708353313188,0.9144527698638584,0.9140751973200204,-0.2509430442893762,-0.2514074978754892,-8089.935239021647,9858.2339110966
union_p90,combined,1,670,134,0.8338902203386369,0.8333488703908584,0.0006491861093634832,0.9190046079526473,0.9197437564361275,-0.3290133293255012,-0.32792909465058107,4494.981567385411,-5680.303405729766
union_p90,combined,2,670,134,0.666524165317508,0.6712317047126016,-0.007062818784438285,1.019152523730282,1.0213626975636136,-0.29365797092739804,-0.2946545507456485,-11497.549847757327,13444.069597456973
union_p90,combined,3,670,134,0.735976243622447,0.7359719569016777,5.824536873822422e-06,1.073738295705101,1.074650564632819,-0.29099085649012185,-0.2908680778748109,-120.20186553257275,-143.32158284582104
union_p90,combined,4,670,134,0.633736218700755,0.6562539569906907,-0.03553172065195283,0.9313857454008282,0.9348911513446714,-0.28644006777571746,-0.2858083214253148,-12226.884524718354,12466.235173021596
union_p90,combined,5,670,134,0.9995443209349828,1.0057612960060969,-0.0062198093079979064,1.105948180669136,1.1034388327063023,-0.14582751850442166,-0.14674302021975394,-6651.429112215197,9069.7356436317
intersection_p90,horizontal,0,48,24,0.5929826063785838,0.5799177422288032,0.022032457628980474,1.6389120982294763,1.6313120715720077,-0.07637391695196527,-0.07664104305794568,1602.6754990477507,
intersection_p90,horizontal,1,48,24,0.5593622000517405,0.5463599050395459,0.02324485818127983,1.8902701614970865,1.8465650178137203,-0.09595415084257447,-0.12276952405593333,5417.618654712307,
intersection_p90,horizontal,2,48,24,0.3828384087452135,0.4547001337713723,-0.1877077205014622,1.6990099417184419,1.6824781581761217,-0.033171751118716813,-0.02422690501665203,11524.707823452867,
intersection_p90,vertical,0,48,24,0.5929826063785838,0.58158785943307,0.01921598850105177,1.6389120982294763,1.6327182999493326,-0.07637391695196527,-0.07716125348415181,,1537.0458197285625
intersection_p90,vertical,1,48,24,0.5593622000517405,0.5501589793460006,0.01645306154915766,1.8902701614970865,1.8448482298074314,-0.09595415084257447,-0.12767424897956361,,6842.765346814191
