boot_id,intercept,coef_lm_w1_times_delta_alpha,coef_delta_alpha,coef_lambda_w_g2_mean
174,2.69307475470491,8.333391785161371,-10.887907997361017,17.069887033383743
175,2.561419790014381,6.59717215987318,-9.90972669275693,13.155781305491079
176,1.6414641474490201,3.4877970170309576,-5.676386665503425,29.17659109360646
177,2.4233348713289713,9.52939945699978,-11.575986356037564,6.897488180604556
178,1.7919081127964733,1.569581106235451,-4.727253096193504,7.220101464483803
179,1.2599861708815436,3.925663280268532,-5.6023520731548295,13.465856369905287
180,3.010379955890908,9.125133545317496,-12.155244702433395,9.08646158658259
181,2.0387082882699064,3.6937213962626507,-6.204029323766273,20.374023973220012
182,2.2665710114037303,7.322598444167707,-9.48504837834794,31.497805624080303
183,1.362149894487614,-0.2869452245124054,-2.709930186568323,1.038376181774607
184,1.262080119650394,2.380540216256023,-4.2875530692134385,27.45333185442989
185,2.215544620019134,8.381333395553892,-10.030513446104651,21.55174974319157
186,2.4650063049554,5.820504764438224,-8.841539989735583,1.8855682302894081
187,1.654326276925704,4.941154902240337,-6.728318134775422,31.794206107967092
188,2.143951688344736,5.7885639991471995,-8.077841972721902,20.037021287044116
189,3.024299784465385,8.506809788445036,-11.99028791287727,13.434390611504744
190,3.0734116435702923,9.810848332158363,-12.645559036321794,24.885752600941295
191,1.9651148842510056,4.999071810950006,-7.467926659960849,10.193909244674145
192,1.5259923003759506,3.5968711519876027,-5.550767036199578,18.50951471816081
193,1.0745548359780286,-2.4547077740684164,-0.6845308538900079,11.262083870269992
194,2.183209196472956,7.522672783686676,-9.293812961569861,16.238093554028385
195,3.399462278841383,10.225168830311453,-13.725262645607641,0.2571118137870812
196,1.8897283646855123,6.050896309881036,-8.28622681529039,5.636692533939366
197,3.3314781703905436,9.955437894357019,-13.271095212054774,4.607639223067959
198,2.6027683533321904,5.768856369852223,-8.887171456750584,-1.8226284280288974
199,1.6686021299256741,3.8239042449380536,-6.255713180604039,14.058582018486312
200,0.927969661978092,-1.1764824644579432,-1.2104730915076947,4.550688452072499
201,2.999493392527248,9.049670007409992,-11.909020579993935,12.348085891840897
202,1.9358918996642358,7.461618391479031,-9.450944042366087,2.810809365067235
203,1.8881722804612742,7.044603674114755,-9.038044967041232,17.0180850625221
204,4.029872439449126,14.307984377167886,-17.4359089378454,13.01244564306263
205,1.2975271213413213,3.0962289940851786,-4.777764856675136,27.699122841592366
206,2.2416405644968846,5.229754158316449,-8.126924785921458,8.036454729090622
207,3.4507378641113498,6.532922829289607,-11.189504428987007,3.050034597176437
208,3.011096040667412,9.359245238390981,-12.723018381724694,11.930175905025536
209,3.272429677499021,9.851755121380291,-13.376586808972316,4.67626697318557
210,2.4316397928262656,5.329764516815192,-8.196959110965814,10.823589908043905
211,1.6881971199106434,5.244166532462886,-6.732798882961899,33.39767023728045
212,2.20445758024281,5.531571211765876,-8.246257936297182,19.017329098286712
213,2.3127358066587136,5.873365804741405,-9.004436302652353,11.376112486342297
214,3.641890907802647,10.486414847804864,-13.876046229318515,15.763681816904274
215,2.6885406670403076,9.929298466288254,-12.571907650217042,10.782505886066824
216,3.1838637476690956,8.659126635422176,-12.12716137836389,6.782725552847181
217,1.2967948288732096,0.5912711398181113,-2.983136190530531,13.157757362751493
218,2.0563955675689254,2.6107993615837866,-5.342534867600591,24.34804584483188
219,2.754871335635318,7.330180898695905,-10.044327271467983,14.595442487033552
